MODZCTA,Positive,Total,zcta_cum.perc_pos,Lat,Long,_geoloc,Neighborhood,Borough
11428,320,488,65.57,40.730904,-73.745661,"{""lat"":40.730904,""lng"":-73.745661}",Southeast Queens,Queens
11429,496,708,70.06,40.721016,-73.742245,"{""lat"":40.721016,""lng"":-73.742245}",Southeast Queens,Queens
11432,787,1219,64.56,40.676808,-73.776425,"{""lat"":40.676808,""lng"":-73.776425}",Jamaica,Queens
11433,432,666,64.86,40.715359,-73.793071,"{""lat"":40.715359,""lng"":-73.793071}",Jamaica,Queens
11434,997,1552,64.24,40.698162,-73.786893,"{""lat"":40.698162,""lng"":-73.786893}",Jamaica,Queens
11435,726,1212,59.9,40.701265,-73.809605,"{""lat"":40.701265,""lng"":-73.809605}",Jamaica,Queens
11436,245,377,64.99,40.675807,-73.796622,"{""lat"":40.675807,""lng"":-73.796622}",Jamaica,Queens
11691,1019,1527,66.73,40.601278,-73.761651,"{""lat"":40.601278,""lng"":-73.761651}",Rockaways,Queens
11692,277,437,63.39,40.594095,-73.792896,"{""lat"":40.594095,""lng"":-73.792896}",Rockaways,Queens
11693,185,312,59.29,40.590692,-73.809749,"{""lat"":40.590692,""lng"":-73.809749}",Rockaways,Queens
11694,342,587,58.26,40.57827,-73.844762,"{""lat"":40.57827,""lng"":-73.844762}",Rockaways,Queens
11697,63,123,51.22,40.555688,-73.920663,"{""lat"":40.555688,""lng"":-73.920663}",Rockaways,Queens
