"MODZCTA","Positive","Total","zcta_cum.perc_pos","Lat","Long","_geoloc","Neighborhood"
"NA",4735,4842,97.79,40.750633,-73.997177,{"lat":40.750633,"lng":-73.997177},"NYC"
10001,170,364,46.7,40.750633,-73.997177,{"lat":40.750633,"lng":-73.997177},"Chelsea and Clinton"
